last_name, first_name,player_id,year,xba,exit_velocity_avg,sweet_spot_percent,barrel_batted_rate,solidcontact_percent,hard_hit_percent,
Paredes, Isaac,670623,2023,.226,87,31.3,6.6,5.9,28.6,
Davis, J.D.,605204,2023,.241,91.5,34.3,9.7,6.3,47,
Soto, Juan,665742,2023,.273,93.2,27.7,12.5,7.6,56.9,
Schwarber, Kyle,656941,2023,.220,91.9,34.1,14.7,7.4,47.5,
Ozuna, Marcell,542303,2023,.273,92.1,32.8,15.9,4.7,49,
Merrifield, Whit,593160,2023,.251,85,39.3,2.7,5.9,24.9,
India, Jonathan,663697,2023,.250,89.4,35.9,7.4,7.8,38.5,
Garcia, Luis,671277,2023,.261,88.3,32.2,6,6.3,37,
Bichette, Bo,666182,2023,.317,90.3,40.2,9.4,6,43.8,
Hoerner, Nico,663538,2023,.267,86.6,33.7,2.3,4.4,33.7,
Chapman, Matt,656305,2023,.234,93.5,33.8,17,8.2,57.4,
Turner, Justin,457759,2023,.266,89.8,36.7,6.1,10.2,39.2,
Dubon, Mauricio,643289,2023,.266,87,34.6,3.9,5.1,29,
Melendez Jr., MJ,669004,2023,.237,93.7,34.6,12.1,8.8,51.6,
Wade Jr., LaMonte,664774,2023,.256,87.9,34.1,10.4,4.8,40,
Tovar, Ezequiel,678662,2023,.257,88.5,38,8.7,4.4,38,
Adames, Willy,642715,2023,.238,86.8,35.4,12.7,4.2,35.4,
Raleigh, Cal,663728,2023,.224,89.7,36.1,13.9,6.8,39.5,
Devers, Rafael,646240,2023,.282,92.6,30.1,13,7.9,52.6,
Nimmo, Brandon,607043,2023,.262,91.8,33.6,9,5.6,47.2,
McCutchen, Andrew,457705,2023,.258,89.4,34.7,7,8.1,43.2,
Reynolds, Bryan,668804,2023,.280,91.2,37.4,11.6,6.2,48.4,
Taveras, Leody,665750,2023,.267,90.2,35.7,6.8,5.5,42.8,
Crawford, J.P.,641487,2023,.260,89,35.5,3.9,6.5,37.4,
Guerrero Jr., Vladimir,665489,2023,.303,93.3,33.3,11.5,6.8,53,
Gorman, Nolan,669357,2023,.246,91.1,39.5,15.9,7.3,48.1,
Diaz, Yandy,650490,2023,.297,93.9,30.3,8.5,6.5,53.5,
Benintendi, Andrew,643217,2023,.274,86.5,41.6,2.9,2.4,26.2,
Ohtani, Shohei,660271,2023,.297,94.9,35.9,20.1,6.6,55.3,
Varsho, Daulton,662139,2023,.230,87.9,34.3,7.5,7.5,36.4,
Arcia, Orlando,606115,2023,.251,89.2,31.7,7.8,5.1,43.7,
Marte, Ketel,606466,2023,.269,90.9,31.5,8.2,6.1,42.6,
Bregman, Alex,608324,2023,.256,88.3,35.8,5.3,9.8,36.3,
Suwinski, Jack,669261,2023,.204,91.4,33.2,17.8,9.4,46.5,
Machado, Manny,592518,2023,.247,90.9,28.8,10.3,6.6,46.2,
Hays, Austin,669720,2023,.247,89.8,31.6,8.9,7.3,40.3,
Muncy, Max,571970,2023,.226,91,32,16.6,7.7,47.4,
Friedl Jr., TJ,670770,2023,.239,86.7,32.5,2.5,2.5,26.5,
Pena, Jeremy,665161,2023,.254,88,32.5,4.6,4.6,36.8,
Rizzo, Anthony,519203,2023,.244,90,41.2,6.9,6.9,37.5,
Volpe, Anthony,683011,2023,.234,88.8,37.1,9.2,8.2,42.5,
Suarez, Eugenio,553993,2023,.230,90.8,37.1,13.7,7,45,
Kwan, Steven,680757,2023,.287,85.9,38.6,1.3,2.9,20.8,
Springer III, George,543807,2023,.261,88.5,32,8.6,6.5,40.9,
